id,descripcion,campo
01,"p","p"
02,"H1","H1"
03,"H2","H2"
04,"H3","H3"
05,"ø1","o1"
06,"ø2","o2"
07,"V1","V1"
08,"V2","V2"
09,"VA","Va"
10,"VC","VC"
11,"Vr","Vr"
12,"Vt","Vt"
13,"VT","VT"
14,"V Tot","VTot"
15,"Brix","Brix"
16,"Sac","Sac"
17,"R","R"
18,"Pza","Pza"
19,"Ton MF","TonMF"
20,"Ton Sac Jugo Diluido","TonSacJDil"
21,"%","porc"
22,"H","H"
23,"Ton Sac Jugo Claro","TonSacJCla"
24,"% N","porcN"
25,"% V","porcV"
26,"Ton Sac Jugo Sulf","TonSacJSulf"
27,"Ton Sac Jugo Filtr","TonSacJFiltr"
28,"Ton Sac Clarificador","TonSacClar"
29,"Ton Sac Meladura","TonSacMel"
30,"Ton Sac Jugo C","TonSacJC"
31,"VB","Vb"
32,"Ton Sac Tq Mel Cru","TonSacTqMelCru"
33,"Ton Sac Masa","TonSacMas"
34,"Ton Sac Calent","TonSacCal"
35,"Ton Sac Clarif Mel","TonSacClaMel"
36,"Ton Sac Vaso R","TonSacVasR"
37,"Vt (Ft³)","VtFt3"
38,"Ton Sac Tk Mela","TonSacTkMel"
39,"Ton Sac Fundido","TonSacFun"
40,"Ton Sac Miel B","TonSacMieB"
41,"Ton Sac Semillero A","TonSacSemA"
42,"Ton Sac Semillero B","TonSacSemB"
43,"Ton Sac Semillero C","TonSacSemC"
44,"Ton Sac Magma B","TonSacMagB"
45,"Ton Sac Masa A I","TonSacMasAI"
46,"Ton Sac Masa A II","TonSacMasAII"
47,"Ton Sac Masa B","TonSacMasB"
48,"Ton Sac Masa C","TonSacMasC"
49,"Ton Sac Miel A","TonSacMieA"
50,"Ton Sac Miel C Rep","TonSacMieCRep"
51,"Ton Sac en Fund","TonSacEnFun"
52,"Ton Sac Masa C-V","TonSacMasCV"
53,"Ton Sac Magma Re","TonSacMagR"
54,"Ton Sac Magma C","TonSacMagC"
55,"Ton Sac Terrón","TonSacTer"
56,"Ton Sac Azúcar","TonSacAzu"
57,"Ton Sac Tratamiento Jugo","tonSacTraJug"
58,"Ton Sac Torre de Sulfitación","tonSacTorSul"
59,"Ton Sac Calentamiento","tonSacCal"
60,"Ton Sac Evaporación","tonSacEva"
61,"Ton Sac Calentadores Mel","tonSacCalMel"
62,"Ton Sac Clarfic Meladura","tonSacClaMel"
63,"Ton Sac Cristalización","tonSacCri"
64,"Ton Sac Tq Almacenamiento","tonSacTqAlm"
65,"Ton Sac Cristaladores Vac","tonSacCriVac"
66,"Ton Sac Recibidores de Masas","tonSacRecMas"
67,"Ton Sac Recibidores Mat","tonSacRecMat"
68,"Ton Sac Recibidores Centri","tonSacRecCen"
69,"Ton Sac Rec Mieles Centri","tonSacRecMieCen"
70,"Ton Sac Fundidor y Cris Ver","tonSacFunCriVer"
71,"Ton Sac Silo Azucar","tonSacSilAzu"
72,"Ton Total","tonTot"
73,"Ton Azúcar Disuelta","tonAzuDis"
74,"Ton Sacarosa Total","tonSacTot"
75,"Peso Material Total/Día (Tot)","pesMatTotDia"
76,"Prom Sólidos (Brix) Total/Día","proSolBriTotDia"
77,"Prom Sac (Pol) Total/Día","proSacPolTotDia"
78,"Prom Pza Total/Día","proPzaTotDia"
79,"Densidad (Kg/M³)","denKgm"
80,"Peso de Sólidos/Día","pesSolDia"
81,"Peso de Pol/Día","pesPolDia"
82,"S.J.M Mat Proceso","sjmMatPro"
83,"Sac Recuperable en Az","sacRecAz"
84,"Azúcar Recuperable","azuRec"
85,"Sac Miel Final","sacMieFin"
86,"Miel Final Recuperable","mieFinRec"
87,"Toneladas Melaza vendidas","tonMelVen",
88,"Toneladas Melaza Producida Total/zafra","tonMelProTotZaf"
89,"Ton Melaza Producida Total Dia  Anterior","tonMelProTotDiaAnt"
90,"Toneladas Melaza Producida Total/Día","tonMelProTotDia"
